"input,comparisons"
"31,10078264548 "
"32,35576617027 "
"33,94162750946 "
"34,166420355265 "
"35,147351345184 "
"36,6795263 "
"37,46781998 "
"38,279493293 "
"39,1419557468"
"40,4775712219 "
"41,12062478298"
