"input,time"
"0,3400"
"0,3400"
"0,3300"
"0,2700"
"0,3000"
"0,5600"
"0,2700"
"0,3700"
"0,3400"
"0,3500"
"0,3000"
"0,2900"
"0,3300"
"0,2700"
"0,3000"
"0,2700"
"0,2600"
"0,9100"
"0,3500"
"0,3400"
"0,2700"
"0,3000"
"0,2700"
"0,2700"
"0,2600"
"0,2600"
"0,3000"
"0,2700"
"0,3500"
"0,3000"
"0,7000"
"0,2700"
"0,2600"
"0,3000"
"0,2600"
"0,3000"
"0,3400"
"0,2600"
"0,2600"
"0,3100"
"0,2600"
"0,2600"
"0,2700"
